Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths,Cluster
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Sayaplayer,T1,"chamber, gekko, jett, sage",268,1.18,227.0,1.37,75.0,146.0,0.85,0.12,0.18,0.11,27.0,11.0,4/36,24,228,167,32,48,29,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Jemkin,Rex Regum Qeon,"chamber, gekko, jett, raze, yoru",328,1.11,218.0,1.22,78.0,144.0,0.8,0.18,0.13,0.13,30.0,27.0,7/26,27,261,214,60,41,41,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Laz,ZETA DIVISION,"cypher, fade, gekko, killjoy, skye, sova",284,1.06,200.0,1.05,66.0,134.0,0.72,0.29,0.08,0.1,37.0,16.0,7/43,23,205,196,83,23,28,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Lakia,Gen.G,"fade, gekko, skye, sova",480,1.02,183.0,1.03,74.0,124.0,0.64,0.35,0.08,0.08,26.0,21.0,9/43,24,305,295,167,36,39,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Karon,Gen.G,"brimstone, omen, viper",480,1.21,208.0,1.24,79.0,134.0,0.78,0.43,0.09,0.05,36.0,15.0,10/65,28,372,299,204,44,24,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Jremy,Team Secret,"jett, neon, raze",290,1.0,219.0,1.03,72.0,144.0,0.73,0.2,0.2,0.2,25.0,33.0,0/14,23,213,206,57,57,58,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,yuran,ZETA DIVISION,"breach, kayo, viper",284,0.8,154.0,0.67,71.0,102.0,0.5,0.52,0.05,0.1,25.0,4.0,1/25,20,142,211,148,14,27,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,xffero,Rex Regum Qeon,"cypher, killjoy, omen, viper",328,1.09,220.0,1.13,74.0,146.0,0.77,0.26,0.08,0.09,31.0,20.0,10/49,30,253,224,86,27,29,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,xccurate,T1,"brimstone, omen, viper",268,0.8,160.0,0.79,73.0,107.0,0.55,0.4,0.04,0.1,22.0,24.0,5/21,20,148,188,108,12,27,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,t3xture,Gen.G,"jett, raze",480,1.09,230.0,1.2,70.0,148.0,0.82,0.16,0.21,0.14,27.0,14.0,3/22,27,394,329,79,99,69,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,something,Paper Rex,"breach, fade, gekko, jett, reyna",436,1.04,207.0,1.11,72.0,134.0,0.75,0.19,0.16,0.11,29.0,15.0,8/55,20,329,296,84,69,50,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,sScary,BLEED,"brimstone, omen, viper",236,1.1,206.0,1.08,78.0,133.0,0.72,0.44,0.06,0.04,27.0,8.0,3/36,21,170,158,104,15,9,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,primmie,Talon Esports,"clove, cypher, iso, jett",118,1.12,254.0,1.06,69.0,174.0,0.91,0.2,0.16,0.13,45.0,27.0,4/15,28,107,101,24,19,15,Under Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,SSeeS,DetonatioN FocusMe,"omen, viper",250,0.94,177.0,0.86,68.0,114.0,0.61,0.39,0.07,0.09,38.0,13.0,6/45,21,153,178,98,17,22,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,neth,DetonatioN FocusMe,"breach, harbor, kayo",250,0.89,172.0,0.8,74.0,110.0,0.58,0.44,0.04,0.06,27.0,16.0,4/25,18,144,180,109,9,16,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,invy,Team Secret,"breach, kayo, sova, viper",290,1.15,201.0,1.1,75.0,133.0,0.71,0.5,0.07,0.06,27.0,11.0,4/37,24,207,189,145,21,17,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,iZu,T1,"cypher, iso, jett, killjoy, raze",268,1.08,254.0,1.2,75.0,168.0,0.88,0.19,0.16,0.14,23.0,6.0,1/16,26,236,196,51,44,38,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,hiroronn,ZETA DIVISION,"cypher, gekko, killjoy, sova",284,0.92,176.0,0.85,69.0,121.0,0.61,0.24,0.09,0.1,28.0,21.0,7/33,20,172,202,67,25,28,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,f0rsakeN,Paper Rex,"breach, cypher, fade, harbor, kayo, neon, skye, yoru",436,1.15,228.0,1.18,78.0,147.0,0.8,0.47,0.1,0.09,29.0,7.0,2/30,22,349,296,203,42,39,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,d4v41,Paper Rex,"fade, kayo, killjoy, sage, skye, sova, viper",436,1.18,213.0,1.22,78.0,141.0,0.75,0.36,0.08,0.06,27.0,18.0,9/50,25,326,267,157,37,28,Best Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,crazyguy,BLEED,"deadlock, fade, sova",236,0.82,166.0,0.71,68.0,116.0,0.53,0.33,0.07,0.12,21.0,10.0,3/30,19,125,177,77,16,28,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,blaZek1ng,Global Esports,"cypher, killjoy, viper",180,0.98,184.0,0.92,66.0,123.0,0.67,0.16,0.06,0.07,33.0,15.0,6/39,18,120,131,28,11,13,Under Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,ban,Talon Esports,"breach, cypher, deadlock, iso, jett, killjoy, phoenix, sage",398,0.9,183.0,0.88,65.0,126.0,0.65,0.19,0.11,0.11,35.0,9.0,4/46,23,260,297,76,44,44,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Zest,BLEED,"breach, deadlock, kayo, skye, viper",236,0.89,168.0,0.85,69.0,106.0,0.59,0.34,0.08,0.1,34.0,13.0,4/31,20,139,163,80,20,24,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Wild0reoo,Team Secret,"cypher, gekko, killjoy, skye",290,1.06,200.0,1.08,74.0,132.0,0.73,0.31,0.08,0.07,34.0,18.0,5/28,25,213,197,90,22,21,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Surf,Talon Esports,"breach, cypher, gekko, jett, killjoy, phoenix, sage",280,0.91,172.0,0.91,69.0,111.0,0.61,0.2,0.05,0.07,36.0,33.0,0/28,19,170,186,56,15,19,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,SugarZ3ro,ZETA DIVISION,"omen, viper",284,1.04,203.0,1.01,73.0,134.0,0.73,0.32,0.04,0.07,37.0,5.0,2/43,21,207,205,92,11,19,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,mindfreak,Paper Rex,"omen, viper",436,0.97,168.0,1.03,75.0,108.0,0.62,0.33,0.06,0.06,37.0,13.0,7/52,20,270,261,144,26,28,Normal Perform
Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,Governor,Talon Esports,"clove, kayo, neon, raze, sova",398,0.9,194.0,0.89,70.0,127.0,0.69,0.23,0.17,0.16,25.0,21.0,5/24,26,275,308,93,68,65,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,xand,FURIA,"fade, gekko, kayo, sage",241,0.69,139.0,0.65,70.0,95.0,0.49,0.34,0.07,0.13,29.0,8.0,2/25,18,119,183,83,18,32,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,pANcada,LOUD,"brimstone, omen, viper",299,1.06,192.0,1.06,71.0,129.0,0.69,0.34,0.07,0.08,37.0,19.0,9/48,28,207,195,102,21,23,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,crashies,NRG Esports,"breach, fade, gekko, skye, sova",215,0.91,171.0,0.92,75.0,113.0,0.59,0.33,0.04,0.06,24.0,12.0,4/33,19,126,137,70,9,13,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,eeiu,100 Thieves,"fade, sova",411,1.15,200.0,1.17,77.0,136.0,0.71,0.35,0.05,0.02,31.0,16.0,13/82,26,292,250,143,19,10,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,havoc,FURIA,"cypher, killjoy, viper",241,0.96,198.0,0.96,65.0,139.0,0.7,0.19,0.12,0.14,36.0,16.0,5/32,23,168,175,45,28,33,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,heat,KRÜ Esports,"breach, fade, gekko, kayo, skye",492,1.01,186.0,0.97,73.0,122.0,0.69,0.37,0.07,0.1,30.0,12.0,8/68,26,341,350,182,36,50,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,icy,G2 Esports,"gekko, jett, neon, raze, yoru",388,0.94,194.0,0.97,71.0,131.0,0.7,0.2,0.12,0.15,23.0,10.0,3/30,23,272,280,79,47,58,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,jawgemo,Evil Geniuses,"iso, jett, neon, raze, sage",242,1.03,243.0,1.01,71.0,160.0,0.81,0.26,0.18,0.15,24.0,10.0,1/10,23,196,195,63,44,36,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,johnqt,Sentinels,"cypher, deadlock, killjoy",217,0.95,172.0,0.96,71.0,114.0,0.62,0.2,0.05,0.06,29.0,11.0,3/27,19,134,140,44,11,14,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,keznit,KRÜ Esports,"jett, neon, raze, reyna",492,1.03,233.0,1.05,70.0,155.0,0.79,0.21,0.19,0.17,23.0,13.0,4/32,29,390,370,105,92,82,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,kiNgg,LEVIATÁN,"omen, viper",479,1.18,210.0,1.31,81.0,134.0,0.76,0.4,0.1,0.07,28.0,17.0,8/48,23,362,276,190,49,33,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,leaf,G2 Esports,"killjoy, viper",388,1.07,219.0,1.06,69.0,148.0,0.76,0.26,0.11,0.09,19.0,22.0,10/46,25,295,279,102,43,35,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,liazzi,MIBR,"breach, deadlock, gekko, kayo, killjoy, raze",225,0.88,172.0,0.87,70.0,115.0,0.61,0.25,0.05,0.07,32.0,12.0,3/26,19,138,158,57,12,16,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,mazin,MIBR,"brimstone, omen, viper",225,0.92,168.0,0.86,65.0,110.0,0.58,0.3,0.07,0.04,31.0,19.0,9/47,20,130,152,67,16,9,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,moose,Cloud9,"cypher, killjoy",277,0.93,166.0,0.92,65.0,115.0,0.6,0.12,0.09,0.06,25.0,17.0,8/48,18,166,181,32,25,18,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,mta,KRÜ Esports,"cypher, sova, viper",445,0.82,163.0,0.78,67.0,112.0,0.57,0.22,0.07,0.08,33.0,7.0,3/44,22,255,327,100,30,34,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,mwzera,FURIA,"jett, neon, raze",241,0.98,236.0,0.99,74.0,153.0,0.82,0.23,0.18,0.15,18.0,7.0,1/15,29,197,198,56,44,36,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,nzr,FURIA,"breach, gekko, skye, sova",241,1.06,198.0,1.02,73.0,140.0,0.69,0.31,0.03,0.04,27.0,17.0,7/41,24,167,164,75,8,9,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,rich,MIBR,"fade, gekko, skye, sova",183,0.94,192.0,0.91,72.0,130.0,0.68,0.25,0.08,0.07,31.0,12.0,3/26,22,124,137,45,14,13,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,runi,Cloud9,"breach, clove, sova, viper",277,0.85,162.0,0.78,70.0,108.0,0.55,0.3,0.05,0.05,32.0,9.0,4/43,22,151,194,83,13,15,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,s0m,NRG Esports,"brimstone, clove, omen, viper",215,1.12,225.0,1.13,78.0,144.0,0.77,0.45,0.09,0.07,27.0,19.0,6/32,24,166,147,97,20,16,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,saadhak,LOUD,"breach, gekko, kayo, neon",299,0.86,193.0,0.8,69.0,127.0,0.61,0.37,0.1,0.15,22.0,23.0,5/22,20,183,229,110,31,46,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,supamen,Evil Geniuses,"clove, omen",242,1.06,215.0,1.08,73.0,136.0,0.79,0.27,0.09,0.15,45.0,21.0,6/29,23,192,177,65,22,37,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,tex,LEVIATÁN,"cypher, gekko, killjoy",479,1.05,205.0,1.17,74.0,136.0,0.75,0.21,0.09,0.1,32.0,16.0,7/44,23,359,307,101,45,46,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,trent,G2 Esports,"fade, gekko, sova",388,1.01,186.0,0.95,74.0,126.0,0.64,0.39,0.07,0.09,23.0,17.0,10/60,22,250,262,152,29,35,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,tuyz,LOUD,"gekko, harbor, jett, omen, raze",299,0.89,176.0,0.9,70.0,117.0,0.64,0.23,0.08,0.13,27.0,6.0,2/34,22,190,210,70,25,38,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,valyn,G2 Esports,"astra, brimstone, harbor, omen",388,1.04,202.0,1.01,79.0,123.0,0.7,0.39,0.1,0.09,22.0,24.0,9/37,23,273,270,150,39,34,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,cauanzin,LOUD,"breach, fade, kayo, skye, sova",299,1.03,220.0,1.05,71.0,144.0,0.77,0.26,0.12,0.09,29.0,13.0,2/16,24,229,219,79,37,28,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,vanity,Cloud9,"omen, viper",277,0.87,177.0,0.84,66.0,118.0,0.62,0.31,0.1,0.13,21.0,10.0,4/39,21,173,205,85,27,36,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,bang,100 Thieves,"omen, viper",411,1.02,202.0,1.04,73.0,127.0,0.7,0.36,0.1,0.12,33.0,13.0,7/54,31,289,278,147,40,50,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,artzin,MIBR,"cypher, gekko, killjoy, viper, yoru",225,1.04,213.0,1.05,67.0,142.0,0.76,0.25,0.12,0.09,27.0,13.0,3/23,24,171,163,56,27,20,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Apoth,Evil Geniuses,"brimstone, cypher, harbor",242,0.73,151.0,0.68,62.0,102.0,0.5,0.26,0.07,0.14,32.0,16.0,4/25,18,121,179,63,17,33,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Asuna,100 Thieves,"gekko, kayo, raze, yoru",411,1.01,206.0,0.96,76.0,132.0,0.7,0.43,0.13,0.12,19.0,15.0,4/26,23,286,297,176,54,50,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Boostio,100 Thieves,"breach, cypher, gekko, killjoy",411,0.86,188.0,0.84,70.0,132.0,0.63,0.28,0.08,0.11,24.0,13.0,5/39,21,260,309,117,34,45,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,C0M,LEVIATÁN,"fade, sova",479,1.04,180.0,1.04,79.0,125.0,0.62,0.36,0.08,0.07,20.0,16.0,8/50,28,298,286,171,38,34,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Cryocells,100 Thieves,"astra, brimstone, iso, jett, omen",411,1.04,224.0,1.13,71.0,139.0,0.82,0.2,0.15,0.12,26.0,21.0,6/29,27,336,298,83,62,48,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Derrek,Evil Geniuses,"fade, gekko, sova",242,1.11,199.0,1.08,76.0,135.0,0.74,0.34,0.06,0.03,37.0,7.0,3/41,23,179,166,82,15,8,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Ethan,NRG Esports,"breach, kayo, sage, yoru",215,1.08,222.0,1.08,79.0,136.0,0.76,0.43,0.12,0.06,22.0,11.0,3/27,25,164,152,92,25,13,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,FiNESSE,NRG Esports,"cypher, deadlock, killjoy, viper",215,0.76,158.0,0.71,64.0,106.0,0.54,0.28,0.08,0.04,19.0,12.0,3/25,18,116,163,60,17,9,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,JonahP,G2 Esports,"breach, kayo, skye, viper",388,1.08,206.0,1.07,71.0,129.0,0.73,0.39,0.09,0.08,24.0,23.0,9/39,27,285,266,153,36,30,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Khalil,FURIA,"brimstone, omen, viper",241,1.14,207.0,1.16,75.0,138.0,0.77,0.31,0.07,0.06,32.0,14.0,4/28,31,186,160,74,18,15,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Klaus,KRÜ Esports,"cypher, viper",47,0.66,127.0,0.59,64.0,93.0,0.43,0.23,0.09,0.13,27.0,33.0,0/3,12,20,34,11,4,6,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,aspas,LEVIATÁN,"jett, neon, raze",479,1.32,269.0,1.52,77.0,170.0,0.94,0.2,0.22,0.11,27.0,13.0,6/45,27,451,297,95,105,55,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Less,LOUD,"cypher, killjoy, omen",299,1.02,191.0,1.03,65.0,130.0,0.71,0.21,0.09,0.07,30.0,5.0,2/44,21,211,205,64,28,22,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Melser,KRÜ Esports,"omen, viper",492,1.0,185.0,0.97,74.0,122.0,0.66,0.35,0.08,0.1,33.0,18.0,14/77,23,323,334,174,40,50,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,NaturE,Evil Geniuses,"breach, kayo, killjoy, skye",242,0.86,164.0,0.78,72.0,107.0,0.57,0.36,0.06,0.06,32.0,14.0,5/37,19,137,175,86,15,15,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,OXY,Cloud9,"jett, raze, reyna",277,0.97,233.0,0.99,69.0,152.0,0.82,0.16,0.18,0.19,27.0,17.0,2/12,33,226,228,45,50,53,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Pa1nt,MIBR,"iso, jett",42,0.53,140.0,0.54,64.0,101.0,0.45,0.29,0.1,0.21,24.0,33.0,0/1,11,19,35,12,4,9,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Palla,MIBR,"jett, raze",183,0.83,221.0,0.85,63.0,142.0,0.73,0.15,0.22,0.2,27.0,18.0,2/11,18,134,157,27,41,37,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Sacy,Sentinels,"fade, gekko, skye, sova",217,0.96,170.0,0.93,74.0,120.0,0.59,0.34,0.06,0.12,29.0,5.0,1/21,19,127,136,74,12,27,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,ShahZaM,MIBR,sova,42,0.91,172.0,0.79,74.0,124.0,0.55,0.33,0.07,0.1,24.0,17.0,1/6,12,23,29,14,3,4,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Shyy,KRÜ Esports,"cypher, killjoy, viper",492,1.04,202.0,1.06,69.0,142.0,0.74,0.23,0.06,0.08,29.0,18.0,12/65,27,362,342,113,28,41,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,TenZ,Sentinels,"gekko, omen",217,1.1,204.0,1.08,74.0,133.0,0.71,0.37,0.09,0.11,26.0,7.0,1/14,23,155,144,80,20,23,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Victor,NRG Esports,"clove, jett, neon, raze",215,0.88,215.0,0.98,67.0,140.0,0.75,0.17,0.2,0.24,25.0,17.0,1/6,23,161,165,37,43,51,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Xeppaa,Cloud9,"breach, gekko, kayo, skye",277,0.9,175.0,0.78,73.0,120.0,0.56,0.39,0.05,0.09,26.0,24.0,5/21,18,156,200,109,14,25,Normal Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Zellsis,Sentinels,"breach, brimstone, cypher, viper",217,1.03,180.0,1.1,75.0,114.0,0.65,0.36,0.02,0.06,21.0,15.0,5/33,21,140,127,79,5,13,Under Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,Mazino,LEVIATÁN,"breach, brimstone, deadlock, harbor, kayo",479,1.17,229.0,1.23,79.0,151.0,0.82,0.45,0.09,0.07,28.0,6.0,2/31,34,395,322,217,41,33,Best Perform
Champions Tour 2024: Americas Stage 2,All Stages,All Match Types,zekken,Sentinels,"jett, raze",217,1.16,274.0,1.15,71.0,178.0,0.9,0.25,0.24,0.18,27.0,9.0,1/11,28,195,169,55,53,39,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,yetujey,FUT Esports,"cypher, killjoy",310,1.06,200.0,1.12,69.0,128.0,0.71,0.26,0.08,0.07,25.0,16.0,8/50,21,219,196,81,26,23,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,trexx,Team Vitality,"fade, sova",573,1.21,227.0,1.16,77.0,153.0,0.76,0.42,0.08,0.07,19.0,14.0,11/81,23,435,376,241,45,40,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,ceNder,Team Vitality,"omen, viper",573,0.89,164.0,0.83,70.0,106.0,0.59,0.37,0.08,0.13,30.0,12.0,6/52,31,340,408,214,44,77,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,RieNs,Team Heretics,"breach, gekko, sova",474,1.13,204.0,1.14,77.0,135.0,0.73,0.37,0.08,0.07,34.0,12.0,7/57,29,344,301,177,36,31,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Redgar,GIANTX,"cypher, omen, sage",149,0.76,144.0,0.71,67.0,96.0,0.51,0.4,0.08,0.07,39.0,14.0,3/22,17,76,107,59,12,11,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,QutionerX,BBL Esports,"jett, neon, raze",207,1.05,241.0,1.08,71.0,152.0,0.82,0.2,0.21,0.1,30.0,8.0,1/13,28,170,158,42,43,21,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,N4RRATE,Karmine Corp,"fade, gekko, jett, neon, skye",245,1.14,239.0,1.13,77.0,157.0,0.82,0.32,0.15,0.09,22.0,25.0,6/24,24,201,178,79,36,22,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,MrFaliN,FUT Esports,"breach, deadlock, omen, sova",310,1.07,182.0,1.03,75.0,118.0,0.63,0.53,0.08,0.07,25.0,19.0,6/32,21,195,190,165,26,22,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Mistic,Team Liquid,"astra, omen, sage",168,0.83,160.0,0.76,71.0,102.0,0.56,0.36,0.05,0.1,30.0,23.0,3/13,17,94,123,61,8,16,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,MiniBoo,Team Heretics,"kayo, neon, raze",474,0.93,210.0,0.92,73.0,140.0,0.71,0.26,0.17,0.16,30.0,33.0,0/19,22,338,366,125,79,76,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,MAGNUM,Karmine Corp,"breach, kayo, killjoy, sova",245,0.88,168.0,0.81,74.0,112.0,0.58,0.33,0.09,0.13,33.0,23.0,5/22,17,141,174,82,23,33,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Kicks,Team Vitality,"breach, gekko, kayo, killjoy",573,0.95,177.0,0.89,71.0,114.0,0.62,0.41,0.06,0.07,22.0,17.0,10/58,20,356,398,236,36,40,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Keiko,Team Liquid,"gekko, iso, jett, raze, reyna",168,0.9,194.0,0.95,67.0,131.0,0.73,0.12,0.13,0.18,33.0,14.0,1/7,30,123,129,20,22,31,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,K4DAVRA,Gentle Mates,"cypher, omen, viper",274,1.1,208.0,1.12,69.0,133.0,0.74,0.28,0.09,0.08,31.0,11.0,3/28,23,204,182,76,25,21,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,SUYGETSU,Natus Vincere,"cypher, killjoy, viper",285,0.96,188.0,0.94,69.0,125.0,0.67,0.2,0.07,0.05,31.0,10.0,6/58,23,190,202,58,20,15,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Jamppi,Team Liquid,"breach, chamber, jett, kayo, killjoy, skye, yoru",168,0.83,168.0,0.78,63.0,108.0,0.58,0.2,0.08,0.14,32.0,13.0,3/24,20,98,125,34,14,24,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Famsii,GIANTX,"omen, raze",108,0.88,172.0,0.85,71.0,126.0,0.62,0.28,0.09,0.07,27.0,33.0,0/11,24,67,79,30,10,8,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Enzo,Team Liquid,"fade, sage, sova",168,1.01,194.0,0.97,63.0,123.0,0.64,0.28,0.04,0.05,18.0,11.0,3/27,23,108,111,47,6,8,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Elite,BBL Esports,"cypher, viper",207,1.06,197.0,1.16,69.0,130.0,0.72,0.19,0.09,0.07,41.0,13.0,4/30,20,149,129,40,19,14,Under Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Derke,FNATIC,"iso, jett, raze, reyna, yoru",439,1.15,243.0,1.25,74.0,161.0,0.87,0.2,0.17,0.16,25.0,22.0,6/27,26,382,305,88,76,69,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Cloud,GIANTX,"breach, fade, gekko, skye, sova",257,0.94,186.0,0.87,71.0,132.0,0.63,0.34,0.07,0.09,22.0,14.0,4/28,21,162,187,88,17,22,Normal Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Chronicle,FNATIC,"deadlock, skye, sova, viper",439,1.22,217.0,1.29,79.0,148.0,0.75,0.37,0.08,0.05,27.0,21.0,12/58,24,331,256,163,35,22,Best Perform
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Brave,BBL Esports,"brimstone, omen",207,0.96,199.0,1.0,68.0,132.0,0.71,0.29,0.14,0.11,38.0,18.0,4/22,22,147,147,61,29,23,Normal Perform
